,Time,User,Tweet
101,2022-03-09 23:56:54+00:00,DeanWin12739048,RT @DissentingCat: @ScottGottliebMD @amazon Or you can get them for free from USPS.    Probably why Amazon has them on sale!
102,2022-03-09 23:56:49+00:00,Thejadelord,Compressed Air Duster Can MAX Professional Cleaner 1111 Blow Off Non-Toxic 8o... https://t.co/oDAoiJ0aqw via @amazon
103,2022-03-09 23:56:31+00:00,trainwrecky,@yaemikxz @911Literatura @amazon Boa leitura
104,2022-03-09 23:56:29+00:00,DuaneHunt15,RT @ericpalmsprings: Good! Thank you @amazon ! Better late than never I guess
105,2022-03-09 23:56:27+00:00,trainwrecky,@yaemikxz @911Literatura @amazon Amor &amp; Gelato é ótimo 🥰
106,2022-03-09 23:56:22+00:00,KheriaSatyam,@amazon can some one call me as I cannot get your number
107,2022-03-09 23:56:17+00:00,gatanini_panzer,"RT @Nautarch_japan: 私の本に訂正のお願い。　拡散希望　

巻末付録「今後発見され可能性のある船」というコーナー、「南極シャクルトン隊の船」と書きました。

削除をお願いします。

先程のニュース記事で発見が伝えられました。

水中考古学 地球最後のフロンティ…"
108,2022-03-09 23:56:16+00:00,trainwrecky,@yaemikxz @911Literatura @amazon Amg que incrível
109,2022-03-09 23:56:12+00:00,politicalhaiku1,"@awscloud  @amazon 

AMERICAN OLIGARCH, @JeffBezos
CUT OFF YOUR RUSSIA BUSINESS NOW!
ONLY #BLOODMONEY COMES FROM #RUSSIA,  AND THOSE WITH BLOOD ON THEIR HANDS WILL BE HELD ACCOUNTABLE!  WE WILL NOT FORGIVE A BETRAYAL OF #DEMOCRACY!  FUNDING RUSSIA ECONOMY= MURDER IN UKRAINE🇺🇦!"
110,2022-03-09 23:56:11+00:00,trainwrecky,RT @yaemikxz: Os mimos da semana do consumidor na @amazon ! @911Literatura obrigada! https://t.co/RPd1Lpynev
111,2022-03-09 23:56:00+00:00,ot_passion,Occupational Therapy Notebook  https://t.co/IU7Nk1Ntn3 via @amazon
112,2022-03-09 23:55:58+00:00,CSinoCSino,"Google Pixel 6, 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Stormy Black https://t.co/V5EsoQhuNK via @amazon https://t.co/yLwecy0SSz"
113,2022-03-09 23:55:55+00:00,BudGothmog44,RT @PamKeithFL: I think it would be awesome for @Amazon to allow people to buy donations of supplies on their accounts and for Bezos to arr…
